#index      query     filename
  1     "SELECT * FROM SMDPL.Rockstar WHERE snapnum=48 AND x >= 0.0000 AND x <= 100.00 AND y >= 0.0000 AND y <= 100.00 AND z >= 0.0000 AND z <= 100.00"     subvol_0_0_0_snapnum_48.csv
  2     "SELECT * FROM SMDPL.Rockstar WHERE snapnum=48 AND x >= 0.0000 AND x <= 100.00 AND y >= 0.0000 AND y <= 100.00 AND z > 100.00 AND z <= 200.00"     subvol_0_0_1_snapnum_48.csv
  3     "SELECT * FROM SMDPL.Rockstar WHERE snapnum=48 AND x >= 0.0000 AND x <= 100.00 AND y >= 0.0000 AND y <= 100.00 AND z > 200.00 AND z <= 300.00"     subvol_0_0_2_snapnum_48.csv
  4     "SELECT * FROM SMDPL.Rockstar WHERE snapnum=48 AND x >= 0.0000 AND x <= 100.00 AND y >= 0.0000 AND y <= 100.00 AND z > 300.00 AND z <= 400.00"     subvol_0_0_3_snapnum_48.csv
  5     "SELECT * FROM SMDPL.Rockstar WHERE snapnum=48 AND x >= 0.0000 AND x <= 100.00 AND y > 100.00 AND y <= 200.00 AND z >= 0.0000 AND z <= 100.00"     subvol_0_1_0_snapnum_48.csv
  6     "SELECT * FROM SMDPL.Rockstar WHERE snapnum=48 AND x >= 0.0000 AND x <= 100.00 AND y > 100.00 AND y <= 200.00 AND z > 100.00 AND z <= 200.00"     subvol_0_1_1_snapnum_48.csv
  7     "SELECT * FROM SMDPL.Rockstar WHERE snapnum=48 AND x >= 0.0000 AND x <= 100.00 AND y > 100.00 AND y <= 200.00 AND z > 200.00 AND z <= 300.00"     subvol_0_1_2_snapnum_48.csv
  8     "SELECT * FROM SMDPL.Rockstar WHERE snapnum=48 AND x >= 0.0000 AND x <= 100.00 AND y > 100.00 AND y <= 200.00 AND z > 300.00 AND z <= 400.00"     subvol_0_1_3_snapnum_48.csv
  9     "SELECT * FROM SMDPL.Rockstar WHERE snapnum=48 AND x >= 0.0000 AND x <= 100.00 AND y > 200.00 AND y <= 300.00 AND z >= 0.0000 AND z <= 100.00"     subvol_0_2_0_snapnum_48.csv
 10     "SELECT * FROM SMDPL.Rockstar WHERE snapnum=48 AND x >= 0.0000 AND x <= 100.00 AND y > 200.00 AND y <= 300.00 AND z > 100.00 AND z <= 200.00"     subvol_0_2_1_snapnum_48.csv
 11     "SELECT * FROM SMDPL.Rockstar WHERE snapnum=48 AND x >= 0.0000 AND x <= 100.00 AND y > 200.00 AND y <= 300.00 AND z > 200.00 AND z <= 300.00"     subvol_0_2_2_snapnum_48.csv
 12     "SELECT * FROM SMDPL.Rockstar WHERE snapnum=48 AND x >= 0.0000 AND x <= 100.00 AND y > 200.00 AND y <= 300.00 AND z > 300.00 AND z <= 400.00"     subvol_0_2_3_snapnum_48.csv
 13     "SELECT * FROM SMDPL.Rockstar WHERE snapnum=48 AND x >= 0.0000 AND x <= 100.00 AND y > 300.00 AND y <= 400.00 AND z >= 0.0000 AND z <= 100.00"     subvol_0_3_0_snapnum_48.csv
